item_id,domain,skill_id,competency,level,question_text,option_a,option_b,option_c,option_d,correct_answer,param_a,param_b,scaffold_step1,scaffold_step2
PROB_DR_001,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm lớn hơn $2$.,2/4,2/5,2/3,1/3,C,0.8,-1.8,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_002,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm nhỏ hơn hoặc bằng $3$.,1/3,3/5,1/2,1/4,C,0.93,-1.74,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_003,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số chẵn.,0.25,0.5,0.6,0.4,B,1.06,-1.68,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_004,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số lẻ.,0.6,0.5,0.25,0.4,B,0.83,-1.62,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_005,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số nguyên tố.,0.4,0.6,0.5,0.25,C,0.96,-1.56,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_006,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để xuất hiện mặt có số chấm bằng $1$.,1/6,2/6,1/8,3/9,A,1.09,-1.5,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_007,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm lớn hơn $3$.,3/5,1/4,1/3,1/2,D,0.86,-1.44,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_008,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất để mặt xuất hiện có số chấm nhỏ hơn hoặc bằng $4$.,2/3,1/3,2/4,2/5,A,0.99,-1.38,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_009,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số chẵn.,0.25,0.4,0.5,0.6,C,1.12,-1.32,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
PROB_DR_010,Xac suat co dien,SKILL_COMB_BASIC,KienThuc_KyNang,NhanBiet,Gieo một con xúc xắc cân đối và đồng chất một lần. Tính xác suất xuất hiện mặt có số chấm là số lẻ.,0.5,0.4,0.6,0.25,A,0.89,-1.26,Xác định không gian mẫu: số kết quả có thể xảy ra của phép thử gieo xúc xắc/đồng xu/chọn phần tử.,Đếm số kết quả thuận lợi cho biến cố cần tính và áp dụng công thức xác suất cổ điển $P(A) = \frac{n(A)}{n(\Omega)}$.
